"","Codigos","Anno","nombrePais","ratio","PIB","ENERGIA","RENOVABLE","poblacion","ren.por.habitante","ren.por.PIB"
"147","IS","2008","Islandia",90.8,10786.6,15241,13838.83,315459,86.79,81.38
"148","IS","2009","Islandia",92.9,9227.6,15659,14547.21,319368,90.12,100
"149","IS","2010","Islandia",92.4,10008.6,15707,14513.27,317630,90.4,91.98
"150","IS","2011","Islandia",93.9,10541.4,16010,15033.39,318452,93.4,90.46
"151","IS","2012","Islandia",95.4,11065.1,16357,15604.58,319575,96.61,89.46
"152","IS","2013","Islandia",96.7,11647,16823,16267.84,321857,100,88.6
"153","IS","2014","Islandia",97.1,12953.8,16830,16341.93,325671,99.28,80.02
"154","IT","2006","Italia",15.9,1548473.4,308777,49095.54,58064214,1.67,2.01
"155","IT","2007","Italia",16,1609550.8,309318,49490.88,58223744,1.68,1.95
"156","IT","2008","Italia",16.6,1632150.8,309317,51346.62,58652875,1.73,2
"157","IT","2009","Italia",18.8,1572878.3,290016,54523.01,59000586,1.83,2.2
"158","IT","2010","Italia",20.1,1604514.5,299313,60161.91,59190143,2.01,2.38
"159","IT","2011","Italia",23.5,1637462.9,301828,70929.58,59364690,2.36,2.75
"160","IT","2012","Italia",27.4,1613265,296742,81307.31,59394207,2.71,3.2
"161","IT","2013","Italia",31.3,1604599.1,287398,89955.57,59685227,2.98,3.56
"162","IT","2014","Italia",33.4,1620381.1,281498,94020.33,60782668,3.06,3.68
"163","LT","2006","Lituania",4,24079.2,8432,337.28,3289835,0.2,0.89
"164","LT","2007","Lituania",4.7,29040.7,8859,416.37,3249983,0.25,0.91
"165","LT","2008","Lituania",4.9,32696.3,9045,443.2,3212605,0.27,0.86
"166","LT","2009","Lituania",5.9,26934.8,8371,493.89,3183856,0.31,1.16
"167","LT","2010","Lituania",7.4,28027.7,8332,616.57,3141976,0.39,1.4
"168","LT","2011","Lituania",9,31275.3,8580,772.2,3052588,0.5,1.57
"169","LT","2012","Lituania",10.9,33348.2,8921,972.39,3003641,0.64,1.85
"170","LT","2013","Lituania",13.1,35002.1,8955,1173.11,2971905,0.78,2.13
"171","LT","2014","Lituania",13.7,36590,9237,1265.47,2943472,0.85,2.19
"172","LU","2006","Luxemburgo",3.2,33409.3,6614,211.65,469086,0.89,0.4
"173","LU","2007","Luxemburgo",3.3,36766.1,6695,220.94,476187,0.92,0.38
"174","LU","2008","Luxemburgo",3.6,37647.4,6595,237.42,483799,0.97,0.4
"175","LU","2009","Luxemburgo",4.1,36268.2,6114,250.67,493500,1,0.44
"176","LU","2010","Luxemburgo",3.8,39946.6,6605,250.99,502066,0.99,0.4
"177","LU","2011","Luxemburgo",4.1,42856.4,6529,267.69,511840,1.03,0.4
"178","LU","2012","Luxemburgo",4.6,43905,6270,288.42,524853,1.09,0.42
"179","LU","2013","Luxemburgo",5.3,46352.6,6207,328.97,537039,1.21,0.45
"180","LU","2014","Luxemburgo",5.9,49272.8,6228,367.45,549680,1.32,0.47
"181","LV","2006","Letonia",40.4,17264.1,6143,2481.77,2227874,2.2,9.12
"182","LV","2007","Letonia",38.6,22679.3,6606,2549.92,2208840,2.28,7.13
"183","LV","2008","Letonia",38.7,24354.8,6628,2565.04,2191810,2.32,6.68
"184","LV","2009","Letonia",41.9,18749.3,6103,2557.16,2162834,2.34,8.65
"185","LV","2010","Letonia",42.1,17788.6,6215,2616.51,2120504,2.44,9.33
"186","LV","2011","Letonia",44.7,20169,6191,2767.38,2074605,2.64,8.7
"187","LV","2012","Letonia",44.9,22020.9,6848,3074.75,2044813,2.98,8.86
"188","LV","2013","Letonia",48.8,22816.3,6576,3209.09,2023825,3.14,8.92
"189","LV","2014","Letonia",51.1,23607.9,6583,3363.91,2001468,3.33,9.04
"190","MT","2006","Malta",0,5386.1,1853,0,404999,0,0
"191","MT","2007","Malta",0,5757.5,1851,0,405616,0,0
"192","MT","2008","Malta",0,6128.7,1853,0,407832,0,0
"193","MT","2009","Malta",0,6138.6,1707,0,410926,0,0
"194","MT","2010","Malta",0,6599.5,1855,0,414027,0,0
"195","MT","2011","Malta",0.5,6874.9,1900,9.5,414989,0.05,0.09
"196","MT","2012","Malta",1.1,7208.8,1979,21.77,417546,0.1,0.19
"197","MT","2013","Malta",1.6,7671.3,1980,31.68,421364,0.15,0.26
"198","MT","2014","Malta",3.3,8092.9,2032,67.06,425384,0.31,0.53
"199","NL","2006","Países Bajos",6.5,579212,105885,6882.52,16334210,0.83,0.75
"200","NL","2007","Países Bajos",6,613280,108112,6486.72,16357992,0.78,0.67
"201","NL","2008","Países Bajos",7.5,639163,108740,8155.5,16405399,0.98,0.81
"202","NL","2009","Países Bajos",9.1,617540,104994,9554.45,16485787,1.15,0.98
